,0-1,0-4,0-5,0-9,1-4,1-5,1-9,4-5,4-9,5-9
0,宝贝,目光,情谊,星星,星空,钻石,简单,爱慕,情意,星空
1,想我,明亮,多情,星空,亲爱的,哥们,温馨,滋润,感觉,勇气
2,欣悦,多情,星空,遇见,老婆大人,请客吃饭,爱情,多情,心碎,心意
3,温馨,背影,爱情,天上人间,老婆,短小精干,真爱,平安,许愿,真挚
4,爱情,时空,美丽,相思树,宝贝,含蓄,浪漫,诚挚,炽热,如意
5,美丽,漫漫长夜,佳节,温馨,身材苗条,陪伴,喜鹊,痴情,心底,相知
6,喜鹊,牵挂,温暖,爱情,简单,红绳,牛郎,真情,佳人,恋爱
7,牛郎,初吻,牛郎,美丽,最美,最美,流星,牵挂,爱你,锦绣
8,流星,好想你,牵挂,佳节,温柔,活泼,佳人,佳人,玫瑰,爱情
9,巧克力,此生,明月,爱恋,温馨,爱情,我爱你,月儿,感动,美丽
10,飞吻,愉快,巧克力,喜鹊,爱情,嫦娥,爱上你,姻缘,深情,浪漫
11,我爱你,爱意,爱你,牛郎,嫦娥,单身,丘比特,爱你,鹊桥,佳节
12,亲爱的,鹊桥,时光,流星,浪漫,浪漫,有缘人,亲爱的,可爱,牛郎
13,好想你,朝朝暮暮,愉快,明月,毛绒绒,痴情,爱你,玫瑰,难以忘怀,害羞
14,爱你,千山万水,远方,此生,痴情,知己,玫瑰,初恋,相约,明月
15,愉快,守护,笑容,誓言,喜鹊,不见不散,月亮,相惜,美好,佳人
16,人生,笑容,亲爱的,圣洁,不见不散,佳人,鹊桥,感动,爱意,希冀
17,月亮,岁月,回忆,想你,脸颊,巧克力,桃花,鹊桥,期盼,拥抱
18,鹊桥,相约,鹊桥,眷恋,佳人,美貌,王母娘娘,和睦相处,鲜花,相识
19,相约,月光,柔情,相遇,陪伴,朋友,甜蜜,可爱,携手,真爱
20,甜蜜,美好,相逢,云烟,飞吻,姑娘,相约,笑容,心声,爱你
21,缘分,真情,快乐,爱你,痴心,姻缘,心情,秘密,灿烂,玫瑰
22,快乐,不离,难舍难分,月亮,我爱你,亲爱的,快乐,月光,乞巧,回忆
23,深情,期盼,深情,爱意,大树,真爱,深情,美好,勇气,感动
24,美好,温柔,美好,共度,爱上你,牛郎,美好,健康,义无反顾,鹊桥
25,真情,宝贝,牵手,鹊桥,姻缘,爱你,偷走,美女,温馨,幸运
26,星空,温馨,真情,柔情,愉快,愉快,真心,爱意,浪漫,柔情
27,思念,星月,拥抱,大海,真爱,王子,星空,玫瑰花,相恋,可爱
28,幸福,圣洁,爱意,表白,好想你,鹊桥,思念,理想,圣洁,开心
29,爱人,眷恋,甜甜的,相逢,爱你,笑哈哈,幸福,鲜花,甜蜜蜜,真诚
30,温柔,相遇,善良,甜蜜,心照不宣,玫瑰,鲜花,月影,眷恋,甜蜜蜜
31,距离,心船,织女,相约,妙不可言,热情,漫漫,嫦娥,相遇,相逢
32,柔情似水,天长地久,幸福,快乐,亲吻,善男信女,陶醉,勇气,真爱,快乐
33,想你,柔情,私语,深情,鹊桥,桃花,约会,相盼,眷属,深情
