厮守,v
要,v
分隔,v
袋,q
伊,ns
情感,n
莫凭阑,nr
不已,d
划向,v
会,v
裙衫,n
看着,v
两,m
郎情,x
心颤,n
冲,v
编号,n
浓浓的,z
打开,v
希望,v
天长地久,i
见,v
影子,n
一片,m
不断,d
相约,d
害怕,v
小儿,n
默默,d
月华,j
拥,v
祝福,nr
永围,n
徜徉,v
升起,v
柔情,a
两处,m
主题,n
依旧,z
念,v
回来,v
﻿,x
千年,m
愁,v
不敢,d
占有欲,nr
写,v
隔,v
匆匆,z
星月,t
难渡,v
归路,n
化作,n
星,n
胸膛,n
含情,n
相逢,v
离情,n
妾意,x
高富帅,n
送上,v
笑容,n
花开,v
难舍难分,l
记忆,n
精确,a
制导,n
回忆,v
就要,d
花朵,n
恨方休,x
茫茫,z
无奈,d
私语,n
温柔,a
问,v
还好,v
心灵,n
送,v
晓月寒,nr
弄,v
似水的,l
般,u
戒,v
美丽,ns
属于,v
爱恋,nr
声音,n
折磨,v
一次,m
愁苦,a
时光,n
璀璨,z
凄凉,a
立于,d
缠缠绵绵,z
婀娜,a
太重,n
无休止,l
伴,v
无悔,v
为,p
黄色,n
日子,n
七月,t
心里,s
宇宙,n
快乐,a
磅礴,v
晚,tg
无情,n
千山万水,i
天涯地角,nz
永远,d
相依,nr
凄然,z
爱情,n
移,vn
其实,d
条条,n
紧紧,d
佳期,n
只好,d
观赏,v
盼望,v
分开,v
涨潮,n
紧张,a
一定,d
狂热,a
真,d
温度,n
理由,n
梦,n
两情,n
温暖,an
改变,v
致敬,v
心儿,n
奉献,v
烧坏,v
现身,n
朝暮,n
停,v
心头,s
决定,v
抱紧,v
升,v
麻麻,n
今,tg
距离,n
坏,a
字,n
风儿,n
长生殿,n
拥抱,v
病毒,n
善良,a
划过,v
春秋,t
一句,m
此情,r
相会,v
斜风细雨,n
七七,m
不知,v
目光,n
无计,v
想我,x
隔河,nz
归来,v
时空,n
一艘,m
牵挂,v
东西,ns
想到,v
如隔三秋,i
江山,ns
水,n
鹊桥,ns
朝朝暮暮,i
守护,v
练,v
独往,d
迷茫,z
横架,n
变迁,vn
行,zg
南北,ns
一道,m
水里,s
月光,n
怜不怜,x
人间,n
恣意,d
真情,n
忍顾,v
眼泪,n
面对,v
握,v
日,m
彩云,n
海里,s
玉簪,n
容颜,nr
原来,d
孤单,a
飞来,v
彩虹,nz
七,m
如,v
多么,r
笑,n
我俩,r
一颗,m
手掌,n
无眠夜,t
满载,v
别,r
悬,v
飞架,n
一生,m
溶成,v
心船,n
人生,n
同游,j
多年,m
用心,n
刻,v
一点,m
身姿,n
今夜,t
所有,b
慢慢,d
手,n
纯爱,a
说,v
全部,n
惆怅,a
力量,n
胜,v
终点,d
不开,v
不弃,v
雨,n
带,v
眉头,n
平,n
今天,t
偷,v
追求,v
牛郎织女,n
好,a
不会,v
相见,v
几度,d
遇见,v
飞星,n
依靠,v
月,m
炸弹,n
帮,v
夜半,t
想见,v
下载,v
巧克力,nr
一天,m
星河,n
远,a
抱,v
世间,n
想说爱,l
放开,v
风寒,n
心,n
飘送,v
甜蜜,a
走开,v
深情,n
小船,n
回收站,n
甜甜的,z
不了,v
戒烟,n
路,n
芳踪,n
梦里藏,nr
能,v
奔腾,v
解开,v
嫉妒,v
赶走,v
雨天,t
走过,v
春去,t
思,v
承诺,v
眼中,s
美貌,nz
我爱你,l
金,n
双双,m
柔情似水,i
七日,t
爱,v
溪水,n
难,a
孤独,a
默默地,z
唯有,b
共度,d
找到,v
响,zg
一种,m
忽略,d
厚实,a
夏去,t
苦苦,a
来临,v
回,v
思念,n
放进,v
也许,d
永不,d
收藏,v
望穿秋水,i
丝线,n
长,a
牵手,v
多情,n
相思树,nr
仍然,d
一世,t
背影,n
香,ns
佳节,n
真的,d
最大,a
当初,t
独自,d
本身,r
此生,t
亲爱的,x
天上,s
长夜漫漫,l
知道,v
心泊,n
样子,n
忍,v
压断,v
闲愁,v
粉红色,n
吻,v
不离,v
期盼,v
祝,v
巧,a
不再,d
总抚,n
辗转,v
想,v
手机卡,n
一年,m
纤云,n
语言,n
宝贝,nr
顾影,nr
凭栏,n
天上人间,n
经常,d
万里,m
落泪,v
脑子,n
半遮半掩,i
却是,d
天,q
圣洁,a
眷恋,v
愈演愈烈,l
几多,m
电话线,n
女性,n
一起,m
卿卿,nr
独处,d
西楼,ns
偷偷,d
掏尽,v
偶然,d
分手,v
出现,v
情人节,n
小树林,nr
生命,vn
想你,x
丢开,v
幸福,a
季节,n
只,d
无数,m
忧伤,v
一直,d
时,n
身边,s
载,v
挚爱,n
一份,m
飞逝,v
热烈,a
渺茫,a
回头,v
传恨,v
欣悦,a
深沉,a
双手,n
轻轻,d
初吻,n
得,ud
一缕,m
寂寞,a
好想你,l
未变,v
蓝色,n
回到,v
远方,s
抵不过,v
别时,r
深度,ns
搭好,v
繁星点点,n
流水落花,n
之遥,ns
弯弯的,z
缘分,n
追寻,v
误,v
感觉,n
肩膀,n
地老天荒,n
痛,an
我,r
一条,m
短信,n
忧,a
慧星,nr
相处,d
播微,v
想起,v
可,v
溪流,n
走,v
却,d
无法,n
酸,n
心间,n
真真,d
退缩,v
心潮起伏,i
诉说,v
时间,n
带来,v
牵牛织女,n
一枚,m
永久,d
牛郎,nr
昨日,t
白云,nr
喜鹊,n
就,d
港湾,ns
月亮,n
夜星,n
悄然,d
只能,v
煎熬,v
悄悄话,n
天涯海角,nz
风,n
真坏,n
月盈,nr
预祝,v
绝望,v
赛,nz
小河,nr
容易,a
飞,v
织女,n
星空,n
重燃,v
直到,v
山,n
久长,v
酒,n
消除,v
松开,v
心事,n
一,m
踪迹,n
明亮,a
不语,n
不可,v
夜晚,t
吃光,v
才能,v
万千,m
云烟,n
告诉,v
漫漫长夜,n
我们,r
昨晚,t
时刻,n
暗渡,v
太,d
断,v
眉间,n
握住,v
安眠药,n
爱你,x
愉快,a
剪刀,n
痛苦,an
包围,v
花自,nrfg
不变,v
信,n
觅,v
诉,vn
岁月,t
爱会,n
像,v
近,a
浓情,n
低格,n
美好,a
两地,n
深深,b
放牛,v
心拉,n
别人,r
剪裁,n
团聚,v
迷失,v
不止,v
欣欣,a
雨水,n
温馨,nr
人儿,n
这份,mq
变化,vn
期待,v
流星,n
看见,v
心中,s
没有,v
广阔,a
海洋,ns
相遇,v
情侣,n
绽放,v
离去,v
无休,v
阻,v
今生,t
体会,n
久久,d
飘零水,i
那日,r
太阳,ns
斗志,n
转斗,vn
飞吻,n
钱包,n
停息,v
正向,d
77,m
情谊,n
花儿,n
自流,n
读懂,v
已,d
相思,v
誓言,n
肯定,v
清风,n
倾尽,v
爱意,n
远离,v
孤鸿,nr
宽宽的,z
无人,n
等待,v
甜,n
眠,vg
天生,n
见到,v
皎洁,z
分离,v
等,u
晨昏,t
送出,v
不淡,a
良辰,n
雁,n
不想,v
情,n
终生,n
微风,n
拉,v
入梦,v
雨落,n
身后,f
绑,v
一场,m
宽度,n
缱绻,a
想着,v
七夕,t
你好,l
满,a
你,r
哭泣,v
彩霞,n
哭,v
秋寒,nr
离开,v
领略,n
精心,n
此时此刻,l
一举一动,i
我会,n
守,v
看,v
涌,v
能否,v
怕,v
七夕节,t
地上,s
望,v
不上,v
明月,t
说好,v
过,ug
亦,d
表白,v
激烈,a
分,v
搓揉,i
情人,n
抱恨,v
片断,d
落,v
愿,v
大海,ns
左右,m
千里,q
掩饰,v
怀念,v
滋味,n
银河,n
不到,v
惟有,b
鱼,n
格式化,nr
喊出,v
眼神,n
约定,v
爱人,n
路口,s
入怀,v
想念,v
无限,v
孤枕难眠,i
海,n
交错,v
妒忌,v
闪烁,v
眼光,n
