count,key
12,美丽
1,窝心
1,励志
1,桃花运
7,多情
1,深厚
3,活泼
23,平安
1,发财
1,风流潇洒
2,喜气洋洋
2,相盼
32,佳节
4,痴情
3,梁祝
22,真情
0,白娘子
18,牵挂
9,佳人
1,心情舒畅
1,香车宝马
1,美妙
4,姻缘
1,花容月貌
11,爱你
7,愉快
2,王子
1,初恋
1,敞亮
7,感动
1,称心如意
1,花语
2,姑娘
2,可爱
1,敏锐
1,惊喜
1,柔丽
0,兄弟姐妹
2,善男信女
0,加薪
1,暗恋
1,深远
2,雨滴
2,情意浓
4,月光
1,云淡风轻
28,美好
1,玫瑰花
29,健康
3,美女
1,笑哈哈
7,爱意
2,夫妻恩爱
1,安逸
4,理想
1,笑呵呵
1,天天开心
16,友情
3,鲜花
0,相邀
1,月影
1,今非昔比
3,实在
0,大胆
1,真谛
1,孤家寡人
3,财源滚滚
5,礼品
1,巧福
1,嘴巧
2,美酒
3,银霜
3,纯爱
8,乞巧
2,相陪
1,勇气
1,短小精干
2,诚挚
3,今朝
1,纯情
1,绽放
0,现实
0,放纵
1,贤惠
1,好人
1,步步高升
1,坚贞
1,损友
1,单身男女
37,浪漫
1,手巧
5,关怀
1,有滋有味
3,时光
2,吉祥如意
1,希冀
1,忆起
49,朋友
3,花团锦簇
2,关爱
6,甜蜜蜜
5,成功
17,真爱
1,皆大欢喜
4,前途
1,魅力
0,富裕
8,欢乐
0,和谐
1,搞笑
6,幸运
8,柔情
0,专情
0,七仙女
38,开心
2,妙恋
1,逛街
1,惦念
1,女人
2,相逢
3,味道
1,姐妹
1,抱负
2,繁华
1,沉醉
1,白头偕老
2,笑开颜
2,难舍难分
1,悠然
2,旖旎
1,升迁
0,安好
2,不见不散
1,好心肠
6,回忆
4,礼物
1,人见人爱
0,聪明伶俐
1,欢欢喜喜
2,无奈
2,私语
5,温柔
3,安康
1,祝贺
2,财气
0,往年
2,悠夕
2,内涵
16,事业
4,誓言
3,喜笑颜开
3,浓情
3,热情
1,钻石
1,觅真爱
2,清风
1,保佑
1,聚聚
0,送子观音
1,美梦成真
5,开开心心
1,相识
4,简单
1,滋润
2,星光灿烂
1,珍贵
12,恋爱
1,锦绣
2,美好时光
12,单身
1,深沉
0,女生
2,顺心
4,心仪
1,点滴
0,心灵手巧
1,细心
1,高薪
6,巧克力
0,小手
5,吃饭
158,幸福
2,帅哥
1,皎洁
1,告饶
0,美滋滋
1,购物
13,亲爱的
0,柔情蜜意
7,远方
6,钞票
11,玫瑰
1,财运
4,金榜题名
1,执着
3,纯粹
1,吃饱
2,良辰
1,仙女下凡
3,智慧
1,相惜
2,妖娆
2,点亮
7,最美
4,甜甜
18,好运
1,好脾气
1,成长
0,喜庆
229,快乐
5,深情
3,牵手
50,鹊桥
6,关心
0,升职
26,真心
1,和睦相处
1,甜甜的
0,钻戒
2,柔挚
1,心语
2,傻气
1,好男儿
10,约会
4,仙女
1,俏丽
0,﻿爱慕
26,永远
2,发呆
1,心花怒放
1,好福气
4,美景
2,理智
3,哥们
1,靓妹
1,请客吃饭
2,心意
7,真挚
4,陪伴
4,身体健康
2,谈恋爱
1,幽默
1,闪亮
2,调皮
132,爱情
1,熟悉
2,红绳
1,笑容满面
2,知己
64,牛郎
2,日日夜夜
5,真诚
1,恩爱夫妻
0,煽情
1,美貌
1,夏天
1,豆蔻年华
2,含蓄
1,秋月
7,温暖
2,遥祝
3,笑容
1,青春年少
2,礼包
3,梦想
2,芬芳
1,进步
4,缘份
1,做伴
20,祝愿
3,桃花
0,蜜语
1,巧手
16,情谊
4,明月
2,星雨
1,形影不离
4,生意兴隆
1,害羞
4,努力
6,恩爱
1,秘密
1,无忧无虑
7,热恋
4,相知
4,永恒
2,红玫瑰
7,送祝福
0,歌唱
8,甜美
2,葡萄
6,拥抱
1,知足
1,锦衣玉食
2,善良
2,福气
62,织女
5,星空
1,快快乐乐
1,问侯
12,有爱
1,死党
3,珍藏
1,知音
8,友谊
2,宽容
2,挚爱
1,富贵
1,永远快乐
10,欢笑
2,胆大
18,如意
1,暖暖的
8,温情
2,好友
1,喜从天降
