count,key
2,家庭和睦
3,顺心如意
1,心连心
1,靓丽
3,悠闲
2,生活美满
50,平安
0,珠圆玉润
1,喜气洋洋
130,佳节
15,好心情
44,事业
56,健康
1,佳人
1,明月清风
1,漂亮
15,情谊
2,鸿运
1,事业有成
1,热心
1,加薪
1,金条
1,人兴财发
3,乐悠悠
14,幸福美满
4,红红火火
17,团团圆圆
5,幸运
2,夫妻恩爱
4,乐陶陶
4,万事兴
1,有钱
1,财源滚滚
5,舒心
1,开朗
1,健健康康
1,万事无忧
2,步步高升
1,大富大贵
0,英明
9,吉祥如意
1,金玉满堂
16,合家欢乐
8,阖家欢乐
9,圆圆满满
2,步步登高
2,笑盈盈
2,事事如意
10,万事如意
1,优美
6,步步高
4,欢声笑语
4,心情舒畅
0,大吉大利
1,福满寿
1,合家幸福
1,吉星高照
1,一切顺利
1,谈笑风生
196,幸福
0,﻿贤良
4,和和美美
24,安康
29,相思
3,家兴
2,高高兴兴
4,寄相思
8,笑开颜
2,美梦成真
1,良善
1,活泼
295,祝福
49,嫦娥
2,得心应手
2,洒脱
174,团圆
1,仕途
0,念家
19,顺心
0,风华绝代
11,如愿
5,福运
39,真诚
2,福星高照
2,佳友
427,快乐
1,升职
4,欢天喜地
4,平平安安
2,一帆风顺
2,五福临门
1,如所愿
2,欢欢喜喜
1,三生有幸
1,脾气好
14,心想事成
2,情真意切
8,逍遥
4,真挚
1,前程似锦
1,儿女
1,挣大钱
5,快快乐乐
1,美貌
30,合家欢
4,阖家团圆
2,天伦之乐
7,喜气
3,高升
6,开开心心
0,神采奕奕
81,思念
60,好运
3,阖家幸福
7,甜甜蜜蜜
5,高兴
